k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
4618,0.00546448,0.00449607,0.00643288,0.00523668,-5.55367,-7.86347,-3.24387,0.459724,3.64265,-14.9788,-1.76343e+07,1.76343e+07,3.64265
4619,0.00528535,0.00431694,0.00625375,0.00500498,-5.55367,-7.86397,-3.24338,0.45972,3.64257,-11.6219,-1.76382e+07,1.76381e+07,3.64257
4620,0.00511209,0.00414369,0.0060805,0.00490417,-5.55368,-7.86447,-3.24288,0.459697,3.64118,-8.8695,-1.7642e+07,1.7642e+07,3.64118
4621,0.00494452,0.00397611,0.00591292,0.00468484,-5.55368,-7.86498,-3.24238,0.459635,3.64147,-6.6127,-1.76459e+07,1.76458e+07,3.64147
4622,0.00478244,0.00381403,0.00575084,0.00462913,-5.55368,-7.86548,-3.24188,0.459652,3.64208,-4.76222,-1.76497e+07,1.76497e+07,3.64208
4623,0.00462567,0.00365726,0.00559407,0.00456704,-5.55368,-7.86598,-3.24138,0.459575,3.643,-3.24492,-1.76535e+07,1.76535e+07,3.643
4624,0.00447404,0.00350563,0.00544244,0.00434034,-5.55368,-7.86648,-3.24088,0.459661,3.64214,-2.00085,-1.76574e+07,1.76574e+07,3.64214
4625,0.00432738,0.00335898,0.00529579,0.00424176,-5.55368,-7.86698,-3.24038,0.459723,3.64172,-0.98075,-1.76612e+07,1.76612e+07,3.64172
4626,0.00418553,0.00321713,0.00515394,0.00409938,-5.55368,-7.86748,-3.23989,0.459722,3.6426,-0.144331,-1.7665e+07,1.7665e+07,3.6426
4627,0.00404833,0.00307993,0.00501674,0.0040103,-5.55368,-7.86798,-3.23939,0.459641,3.64315,0.541477,-1.76688e+07,1.76688e+07,3.64315
4628,0.00391563,0.00294723,0.00488404,0.0038998,-5.55368,-7.86848,-3.23889,0.459665,3.64363,1.10381,-1.76727e+07,1.76727e+07,3.64363
4629,0.00378728,0.00281887,0.00475569,0.00373523,-5.55368,-7.86898,-3.23839,0.459699,3.64256,1.56491,-1.76765e+07,1.76765e+07,3.64256
4630,0.00366314,0.00269473,0.00463154,0.00352185,-5.55368,-7.86948,-3.23789,0.459766,3.64241,1.94295,-1.76803e+07,1.76803e+07,3.64241
4631,0.00354306,0.00257466,0.00451147,0.00332929,-5.55368,-7.86998,-3.23739,0.459674,3.64271,2.25292,-1.76841e+07,1.76841e+07,3.64271
4632,0.00342693,0.00245852,0.00439533,0.00316949,-5.55368,-7.87048,-3.23689,0.459702,3.64277,2.50714,-1.76879e+07,1.76879e+07,3.64277
4633,0.0033146,0.00234619,0.00428301,0.00311197,-5.55368,-7.87098,-3.23639,0.459699,3.64411,2.75005,-1.76918e+07,1.76918e+07,3.64411
4634,0.00320613,0.00223772,0.00417454,0.00294562,-5.55368,-7.87148,-3.23589,0.459722,3.64429,2.9147,-1.76956e+07,1.76956e+07,3.64429
4635,0.00310104,0.00213263,0.00406945,0.00286295,-5.55368,-7.87198,-3.23539,0.45978,3.64486,3.04976,-1.76994e+07,1.76994e+07,3.64486
4636,0.00299939,0.00203099,0.0039678,0.00277754,-5.55368,-7.87248,-3.23489,0.459721,3.64459,3.16045,-1.77032e+07,1.77032e+07,3.64459
4637,0.00290108,0.00193268,0.00386949,0.00275595,-5.55369,-7.87298,-3.23439,0.45974,3.6443,3.2476,-1.7707e+07,1.7707e+07,3.6443
4638,0.00280597,0.00183757,0.00377438,0.00257867,-5.55369,-7.87348,-3.23389,0.459668,3.64501,3.32272,-1.77108e+07,1.77109e+07,3.64501
